SampleCode,ShortName,LongName,ParentSample,DateProduced,Feedstock,Researcher/Student,GroupLab,PyrolysisType,Temp(C),ProcessDetails,UnitType,Capacity(mg/g),BET(m2/g),pH,Yield (%),PoreSize(units),PoreVolume(units),%C,%H,%N,%O,Density ,Hydrophobicity ,Notes,Published?
acbc0133,,B-255-10,,,Bark,,Kelly,,,,100g US,,9.0000,,,10.600,9.000000,,,,,,,,
acbc0134,,B-255-40,,,Bark,,Kelly,,,,100g US,,11.5000,,,9.600,11.500000,,,,,,,,
acbc0135,,B-325-10,,,Bark,,Kelly,,,,100g US,,6.9000,,,10.000,6.900000,,,,,,,,
acbc0136,,B-325-40,,,Bark,,Kelly,,,,100g US,,11.9000,,,9.000,11.900000,,,,,,,,
acbc0137,,Sawdust,,,Sawdust,,Kelly,,,,100g US,,5.4000,,,6.500,5.400000,,,,,,,,
acbc0138,,S-255-10,,,Sawdust,,Kelly,,,,100g US,,7.8000,,,6.300,7.800000,,,,,,,,
acbc0139,,S-255-40,,,Sawdust,,Kelly,,,,100g US,,6.9000,,,6.500,6.900000,,,,,,,,
acbc0140,,S-325-10,,,Sawdust,,Kelly,,,,100g US,,9.5000,,,6.500,9.500000,,,,,,,,
acbc0141,,S-325-40,,,Sawdust,,Kelly,,,,100g US,,8.2000,,,6.700,8.200000,,,,,,,,
acbc0142,,"S-290-310, Aug9th/14",,,Sawdust,,Kelly,,,,100g US,,5.3500,,,6.300,5.350000,,,,,,,,
acbc0143,,"B-290-310, Aug22th/14 ",,,Bark,,Kelly,,,,100g US,,6.5000,,,4.800,6.500000,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
